"video_cats","video_intense","video_num","Subject","Anxiety","ExpectedFear","how_aroused","how_distant_present","how_fearful","how_pleasant"
"Heights","High","2","R_3JK8mhcVAhH1cYN",0,3,79,93,12,19
"Heights","High","2","R_3JzngGW2vsHAk6Y",15,20,50,30,50,20
"Heights","High","2","R_3KryTuJmKTxXjim",3,4,82,84,31,44
"Heights","High","2","R_3lxMuyrbG1ewg89",50,71,93,100,93,0
"Heights","High","2","R_3LZJrZemGbYtmAq",0,10,13,100,23,0
"Heights","High","2","R_3NU2EbrCDhYOSw4",59,74,100,86,86,0
"Heights","High","2","R_3NUHkQ7u6Z7U5So",0,0,40,90,30,40
"Heights","High","2","R_3oGZtyQH6L4kqUw",17,4,33,42,66,32
"Heights","High","2","R_3oKQvyXwd8LBwRD",15,30,80,90,65,25
"Heights","High","2","R_3q7kYa381PtmyA3",27,40,95,100,90,4
"Heights","High","2","R_3QPBTjd1B8cWwVs",90,100,96,8,95,5
"Heights","High","2","R_3qvt4ofeIEPVi6Z",0,0,82,91,14,39
"Heights","High","2","R_3s16evth0kO1gOG",35,30,85,80,75,15
"Heights","High","2","R_5irlwFbumPPxDqN",52,55,90,90,70,0
"Heights","High","2","R_5vEde5bpfRcBUSR",75,93,80,48,80,15
"Heights","High","2","R_88QBxtZzthDPw5P",65,72,92,81,84,20
"Heights","High","2","R_8lhMbAAmhPTH3KV",28,10,73,83,73,73
"Heights","High","2","R_9z6o3XhybVZnDJD",80,95,100,83,100,58
"Heights","High","2","R_A1ynaFImvOIYIyl",7,20,86,90,22,5
"Heights","High","2","R_agu43adP9dmW1Ut",19,20,24,76,24,29
"Heights","High","2","R_aViQ4qyGf4ZfmLf",0,0,91,100,70,9
"Heights","High","2","R_cT3eteh2G55FPjj",9,12,76,76,7,64
"Heights","High","2","R_cYkozB2WqZbxvi1",70,70,80,90,75,10
"Heights","High","2","R_DAf4S53mLTGDwQ1",5,24,78,85,41,30
"Heights","High","2","R_DSLgkEtvD3Fa10Z",60,70,90,90,70,10
"Heights","High","2","R_eIJhGp1TZkpiVdn",30,60,100,100,80,0
"Heights","High","2","R_eLL4wseyOFuox5D",67,25,27,66,64,74
"Heights","High","2","R_pawByuUlC7Ye2AN",3,0,82,100,70,18
"Heights","High","2","R_pMBnK60HOxcmyZz",5,5,65,81,15,50
"Heights","High","2","R_po8MWys5eYyufip",59,78,59,100,0,66
"Heights","High","2","R_Qgjm9n7YBgShxYZ",6,4,30,65,19,36
"Heights","High","2","R_Rtu9vj81TcVzBDz",8,7,87,80,18,64
"Heights","High","2","R_RXEHPs8tYQNbHJn",59,60,71,64,84,40
"Heights","High","2","R_tECZC6S2PedhmA9",77,81,77,98,84,14
"Heights","High","2","R_TnMHq0KaIVlKfqp",0,0,42,74,22,0
"Heights","High","2","R_TorWoeGEL3lNlbX",25,34,70,72,43,35
"Heights","High","2","R_un9FpuYuTNHwtj3",0,0,11,0,0,20
"Heights","High","2","R_WDrPZnYCUoeSmR3",0,0,0,20,20,10
"Heights","High","2","R_wRyJJImGxzrwl69",5,9,60,97,33,76
"Heights","High","2","R_wYklq5dyUKrTpfz",50,100,100,100,100,0
"Heights","High","2","R_XIlOj977r0FkBj3",18,15,5,51,10,45
"Heights","High","2","R_Y9zteRJA0ZIyZ5D",58,62,100,100,94,0
"Heights","High","2","R_ywJ22mo2kwiNbYl",82,92,98,99,97,0
"Heights","High","2","R_z0WWV95k7LQI9z3",65,66,85,91,79,85
"Heights","High","3","R_0lFJxz1l9GCqPLz",57,69,58,54,44,32
"Heights","High","3","R_10HrOnbw2qcNAFb",90,85,79,89,75,90
"Heights","High","3","R_10q0sXSDxr6uiLQ",5,20,20,50,20,50
"Heights","High","3","R_12roVNyjptyqPX7",0,0,0,0,0,50
"Heights","High","3","R_1BQO7gJBnvyOfnX",61,64,82,51,76,16
"Heights","High","3","R_1dKwDU013ctZcWB",56,77,52,54,50,52
"Heights","High","3","R_1EYiSA7OuD5fcOR",99,99,100,100,99,0
"Heights","High","3","R_1FbU3BZ3c8TSv8Q",27,26,24,59,43,41
"Heights","High","3","R_1IHhzezWkuPoGI1",0,0,0,0,0,0
"Heights","High","3","R_1JJ9v8kI1xLTIzk",1,4,0,0,0,49
"Heights","High","3","R_1k0jZkHgc2fuwrT",15,15,20,40,0,25
"Heights","High","3","R_1k1XfPdy5fGOgce",11,29,13,0,6,15
"Heights","High","3","R_1K83jaaIhmUroct",41,66,50,50,0,50
"Heights","High","3","R_1Lb4ufeIxRNJL6d",10,10,0,0,0,50
"Heights","High","3","R_1mRfeliyC362m9I",13,30,60,50,20,30
"Heights","High","3","R_1N8PfXN94lXsKqs",70,70,51,51,51,51
"Heights","High","3","R_1Ngm1dwb6b8gUCb",0,0,50,50,50,50
"Heights","High","3","R_1P5it599MB6JPGo",76,75,81,63,65,73
