,video_num,Arousal,Fear,Valence,semArousal,semFear,semValence,stdArousal,stdFear,stdValence
0,38.0,6.844999999999999,5.539,3.146000000000002,0.19923440148144178,0.23344459060861134,0.19398860247305053,2.817599926663412,3.3014050610133303,2.74341312563191
0,39.0,5.139500000000001,4.014999999999999,4.138000000000002,0.24481343270778858,0.24727332140242494,0.1875946126451058,3.462184767864677,3.496972847403507,2.6529884543083595
0,40.0,6.780000000000005,5.212499999999999,3.6345000000000005,0.20113746892867873,0.2305814558652641,0.19735766768731047,2.844513364603345,3.2609142211638975,2.791058902817168
0,41.0,7.193999999999997,5.919500000000002,2.85,0.19918759623144797,0.22759911143859535,0.19335311514345546,2.8169380004700972,3.2187375018052697,2.734425977629614
0,42.0,5.816499999999998,4.4304999999999986,4.309500000000001,0.21721718457889536,0.23219966012206833,0.18391416708419003,3.0719148841197375,3.2837990852305214,2.6009390940301302
0,43.0,4.2509999999999994,2.179499999999999,6.596999999999997,0.22980873629255677,0.20139750126947434,0.1743543869861224,3.249986316167559,2.8481907772334325,2.465743387350214
0,44.0,6.388000000000002,4.964500000000002,3.736499999999999,0.20434914451575667,0.2273242846728216,0.18648450634175384,2.8899333163352265,3.214850864410666,2.6372891804095975
0,45.0,4.210000000000002,2.0155000000000003,6.95,0.23172176176261877,0.19814858835057758,0.16871074827323418,3.2770405818168276,2.802244210104703,2.38593028326121
0,46.0,4.284000000000001,1.5624999999999993,7.695500000000001,0.23620687636521312,0.18837634401623957,0.14707926536907764,3.3404696808146928,2.6640438053802584,2.080014918288211
0,47.0,5.741999999999998,4.1725,4.7989999999999995,0.2206561252903275,0.23670682150443761,0.18208726992666657,3.1205488500627805,3.347539972778031,2.575102866657825
0,48.0,6.479,4.088500000000001,5.350500000000002,0.2263125756769777,0.2549511506072876,0.21125016428288934,3.200543138579693,3.6055537493145176,2.987528473824065
0,49.0,4.223,2.0115000000000003,3.890999999999999,0.22399604043521218,0.1810274660578795,0.16514526877569027,3.167782383013493,2.5601149766108833,2.335506788643312
0,50.0,5.811499999999999,3.1300000000000012,2.951000000000001,0.21785982481020144,0.22069556557238892,0.18804868128403168,3.081003189428134,3.1211066198807313,2.6594099545825323
0,51.0,6.749499999999999,5.092500000000002,2.674500000000001,0.21198866649804213,0.2269648296974621,0.18719833018518245,2.9979724723091814,3.2097674033985073,2.647384174014818
0,52.0,4.845499999999999,2.833,3.6830000000000025,0.2262295244628637,0.20950301325473591,0.17223787162558216,3.1993686170459776,2.9628200270287786,2.435811340071744
0,53.0,4.874500000000002,2.5045000000000006,3.6165,0.21946714535311934,0.19770707927633727,0.17864197020182,3.1037341345368876,2.7960003288976885,2.5263789706846413
0,54.0,4.881500000000002,2.3819999999999997,3.2925,0.2325368912213596,0.20416241440893668,0.18410988839555878,3.2885682531732385,2.8872925538395444,2.6037070113599614
0,55.0,3.6424999999999996,1.56,6.193999999999999,0.2193840595346194,0.17603248900680127,0.16337772616557977,3.102559123623253,2.4894753337171114,2.310509961330406
0,56.0,3.9339999999999997,2.2130000000000005,5.407499999999999,0.23294211759738465,0.21337478528395734,0.17079762261064188,3.294299019541298,3.017575152170196,2.4154431431705135
